globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,decaySteps_0,decaySteps_1,controlValues_00,controlValues_01,controlValues_10,controlValues_11,dFactor,case,computationIndex
32,50,15360,0,3000.0,1,6.0,0,0,0.0005,3,32
156,46,15360,0,3000.0,3,2.0,0,0,0.00075,2,156
207,50,16640,0,3000.0,3,8.0,0,0,0.00025,3,207
240,50,16640,0,3000.0,4,4.0,0,0,0.0005,1,240
291,50,15360,0,3000.0,4,10.0,0,0,0.00075,2,291
335,50,16640,0,3000.0,5,6.0,0,0,0.00075,1,335
385,50,16640,0,4000.0,1,2.0,0,0,0.00025,1,385
501,50,15360,0,4000.0,2,8.0,0,0,0.00075,2,501
577,50,16640,0,4000.0,3,8.0,0,0,0.00075,3,577
655,50,16640,0,4000.0,4,8.0,0,0,0.00025,1,655
670,50,16640,0,4000.0,4,10.0,0,0,0.00025,1,670
700,50,16640,0,4000.0,5,4.0,0,0,0.00025,1,700
717,50,16640,0,4000.0,5,6.0,0,0,0.00025,3,717
730,50,16640,0,4000.0,5,8.0,0,0,0.00025,1,730
771,50,15360,0,5000.0,1,4.0,0,0,0.00075,2,771
875,50,16640,0,5000.0,2,8.0,0,0,0.00075,1,875
880,50,16640,0,5000.0,2,8.0,0,0,0.00025,1,880
951,50,15360,0,5000.0,3,8.0,0,0,0.00075,2,951
967,50,15360,0,5000.0,3,10.0,0,0,0.00075,3,967
1002,50,15360,0,5000.0,4,4.0,0,0,0.00025,3,1002
1044,50,15360,0,5000.0,4,10.0,0,0,0.00075,5,1044
1116,50,15360,0,5000.0,5,10.0,0,0,0.00075,2,1116
1226,50,15360,0,6000.0,2,4.0,0,0,0.00025,2,1226
1245,50,16640,0,6000.0,2,8.0,0,0,0.0005,1,1245
1304,50,15360,0,6000.0,3,4.0,0,0,0.00025,5,1304
1327,50,16640,0,6000.0,3,8.0,0,0,0.00075,3,1327
1332,50,16640,0,6000.0,3,8.0,0,0,0.00025,3,1332
1440,50,16640,0,6000.0,5,4.0,0,0,0.0005,1,1440
