globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,decaySteps_0,decaySteps_1,controlValues_00,controlValues_01,controlValues_10,controlValues_11,case,computationIndex
0,50,25600,0,5000.0,1,2.0,0,0,1,0
1,20,25600,0,5000.0,1,2.0,0,0,2,1
2,46,21760,0,5000.0,1,2.0,0,0,3,2
3,50,25600,0,5000.0,1,2.0,0,0,4,3
4,50,21760,0,5000.0,1,2.0,0,0,5,4
5,50,21760,0,5000.0,1,4.0,0,0,1,5
6,50,15360,0,5000.0,1,4.0,0,0,2,6
7,49,20480,0,5000.0,1,4.0,0,0,3,7
8,13,17920,0,5000.0,1,4.0,0,0,4,8
9,48,25600,0,5000.0,1,4.0,0,0,5,9
10,17,21760,0,5000.0,1,6.0,0,0,1,10
11,50,25600,0,5000.0,1,6.0,0,0,2,11
12,25,23040,0,5000.0,1,6.0,0,0,3,12
13,50,24320,0,5000.0,1,6.0,0,0,4,13
14,50,24320,0,5000.0,1,6.0,0,0,5,14
15,0,-1,0,5000.0,1,8.0,0,0,1,15
16,50,23040,0,5000.0,1,8.0,0,0,2,16
17,1,15360,0,5000.0,1,8.0,0,0,3,17
18,50,21760,0,5000.0,1,8.0,0,0,4,18
19,50,21760,0,5000.0,1,8.0,0,0,5,19
20,50,25600,0,5000.0,1,10.0,0,0,1,20
21,50,23040,0,5000.0,1,10.0,0,0,2,21
22,50,21760,0,5000.0,1,10.0,0,0,3,22
23,50,25600,0,5000.0,1,10.0,0,0,4,23
24,50,25600,0,5000.0,1,10.0,0,0,5,24
25,50,25600,0,6000.0,1,2.0,0,0,1,25
26,50,23040,0,6000.0,1,2.0,0,0,2,26
27,49,20480,0,6000.0,1,2.0,0,0,3,27
28,50,25600,0,6000.0,1,2.0,0,0,4,28
29,50,20480,0,6000.0,1,2.0,0,0,5,29
30,48,21760,0,6000.0,1,4.0,0,0,1,30
31,50,23040,0,6000.0,1,4.0,0,0,2,31
32,10,20480,0,6000.0,1,4.0,0,0,3,32
33,50,20480,0,6000.0,1,4.0,0,0,4,33
34,50,20480,0,6000.0,1,4.0,0,0,5,34
35,50,25600,0,6000.0,1,6.0,0,0,1,35
36,50,25600,0,6000.0,1,6.0,0,0,2,36
37,50,23040,0,6000.0,1,6.0,0,0,3,37
38,50,20480,0,6000.0,1,6.0,0,0,4,38
39,1,15360,0,6000.0,1,6.0,0,0,5,39
40,16,21760,0,6000.0,1,8.0,0,0,1,40
41,44,25600,0,6000.0,1,8.0,0,0,2,41
42,50,19200,0,6000.0,1,8.0,0,0,3,42
43,50,20480,0,6000.0,1,8.0,0,0,4,43
44,50,25600,0,6000.0,1,8.0,0,0,5,44
45,0,-1,0,6000.0,1,10.0,0,0,1,45
46,48,25600,0,6000.0,1,10.0,0,0,2,46
47,3,12800,0,6000.0,1,10.0,0,0,3,47
48,50,25600,0,6000.0,1,10.0,0,0,4,48
49,0,-1,0,6000.0,1,10.0,0,0,5,49
50,48,25600,0,7000.0,1,2.0,0,0,1,50
51,50,23040,0,7000.0,1,2.0,0,0,2,51
52,50,20480,0,7000.0,1,2.0,0,0,3,52
53,0,-1,0,7000.0,1,2.0,0,0,4,53
54,50,25600,0,7000.0,1,2.0,0,0,5,54
55,50,16640,0,7000.0,1,4.0,0,0,1,55
56,49,25600,0,7000.0,1,4.0,0,0,2,56
57,49,19200,0,7000.0,1,4.0,0,0,3,57
58,50,20480,0,7000.0,1,4.0,0,0,4,58
59,50,21760,0,7000.0,1,4.0,0,0,5,59
60,48,20480,0,7000.0,1,6.0,0,0,1,60
61,50,23040,0,7000.0,1,6.0,0,0,2,61
62,50,20480,0,7000.0,1,6.0,0,0,3,62
63,50,20480,0,7000.0,1,6.0,0,0,4,63
64,50,25600,0,7000.0,1,6.0,0,0,5,64
65,0,-1,0,7000.0,1,8.0,0,0,1,65
66,50,25600,0,7000.0,1,8.0,0,0,2,66
67,39,19200,0,7000.0,1,8.0,0,0,3,67
68,50,25600,0,7000.0,1,8.0,0,0,4,68
69,50,25600,0,7000.0,1,8.0,0,0,5,69
70,1,21760,0,7000.0,1,10.0,0,0,1,70
71,50,23040,0,7000.0,1,10.0,0,0,2,71
72,0,-1,0,7000.0,1,10.0,0,0,3,72
73,50,20480,0,7000.0,1,10.0,0,0,4,73
74,0,-1,0,7000.0,1,10.0,0,0,5,74
75,50,25600,0,8000.0,1,2.0,0,0,1,75
76,0,-1,0,8000.0,1,2.0,0,0,2,76
77,0,-1,0,8000.0,1,2.0,0,0,3,77
78,22,21760,0,8000.0,1,2.0,0,0,4,78
79,48,25600,0,8000.0,1,2.0,0,0,5,79
80,50,20480,0,8000.0,1,4.0,0,0,1,80
81,50,23040,0,8000.0,1,4.0,0,0,2,81
82,50,20480,0,8000.0,1,4.0,0,0,3,82
83,50,20480,0,8000.0,1,4.0,0,0,4,83
84,0,-1,0,8000.0,1,4.0,0,0,5,84
85,50,25600,0,8000.0,1,6.0,0,0,1,85
86,50,23040,0,8000.0,1,6.0,0,0,2,86
87,10,16640,0,8000.0,1,6.0,0,0,3,87
88,50,25600,0,8000.0,1,6.0,0,0,4,88
89,50,25600,0,8000.0,1,6.0,0,0,5,89
90,0,-1,0,8000.0,1,8.0,0,0,1,90
91,50,25600,0,8000.0,1,8.0,0,0,2,91
92,0,-1,0,8000.0,1,8.0,0,0,3,92
93,5,20480,0,8000.0,1,8.0,0,0,4,93
94,50,25600,0,8000.0,1,8.0,0,0,5,94
95,0,-1,0,8000.0,1,10.0,0,0,1,95
96,47,25600,0,8000.0,1,10.0,0,0,2,96
97,0,-1,0,8000.0,1,10.0,0,0,3,97
98,50,25600,0,8000.0,1,10.0,0,0,4,98
99,0,-1,0,8000.0,1,10.0,0,0,5,99
100,50,20480,0,9000.0,1,2.0,0,0,1,100
101,33,25600,0,9000.0,1,2.0,0,0,2,101
102,0,-1,0,9000.0,1,2.0,0,0,3,102
103,0,-1,0,9000.0,1,2.0,0,0,4,103
104,0,-1,0,9000.0,1,2.0,0,0,5,104
105,0,-1,0,9000.0,1,4.0,0,0,1,105
106,50,19200,0,9000.0,1,4.0,0,0,2,106
107,48,20480,0,9000.0,1,4.0,0,0,3,107
108,50,21760,0,9000.0,1,4.0,0,0,4,108
109,50,23040,0,9000.0,1,4.0,0,0,5,109
110,0,-1,0,9000.0,1,6.0,0,0,1,110
111,0,-1,0,9000.0,1,6.0,0,0,2,111
112,39,23040,0,9000.0,1,6.0,0,0,3,112
113,50,25600,0,9000.0,1,6.0,0,0,4,113
114,50,25600,0,9000.0,1,6.0,0,0,5,114
115,0,-1,0,9000.0,1,8.0,0,0,1,115
116,29,25600,0,9000.0,1,8.0,0,0,2,116
117,5,24320,0,9000.0,1,8.0,0,0,3,117
118,0,-1,0,9000.0,1,8.0,0,0,4,118
119,50,25600,0,9000.0,1,8.0,0,0,5,119
120,0,-1,0,9000.0,1,10.0,0,0,1,120
121,50,25600,0,9000.0,1,10.0,0,0,2,121
122,15,19200,0,9000.0,1,10.0,0,0,3,122
123,0,-1,0,9000.0,1,10.0,0,0,4,123
124,1,20480,0,9000.0,1,10.0,0,0,5,124
125,50,25600,0,10000.0,1,2.0,0,0,1,125
126,0,-1,0,10000.0,1,2.0,0,0,2,126
127,50,23040,0,10000.0,1,2.0,0,0,3,127
128,0,-1,0,10000.0,1,2.0,0,0,4,128
129,50,25600,0,10000.0,1,2.0,0,0,5,129
130,50,20480,0,10000.0,1,4.0,0,0,1,130
131,50,25600,0,10000.0,1,4.0,0,0,2,131
132,0,-1,0,10000.0,1,4.0,0,0,3,132
133,50,25600,0,10000.0,1,4.0,0,0,4,133
134,50,19200,0,10000.0,1,4.0,0,0,5,134
135,50,20480,0,10000.0,1,6.0,0,0,1,135
136,50,25600,0,10000.0,1,6.0,0,0,2,136
137,50,19200,0,10000.0,1,6.0,0,0,3,137
138,50,25600,0,10000.0,1,6.0,0,0,4,138
139,4,20480,0,10000.0,1,6.0,0,0,5,139
140,50,25600,0,10000.0,1,8.0,0,0,1,140
141,50,23040,0,10000.0,1,8.0,0,0,2,141
142,0,-1,0,10000.0,1,8.0,0,0,3,142
143,50,25600,0,10000.0,1,8.0,0,0,4,143
144,50,25600,0,10000.0,1,8.0,0,0,5,144
145,0,-1,0,10000.0,1,10.0,0,0,1,145
146,33,25600,0,10000.0,1,10.0,0,0,2,146
147,50,20480,0,10000.0,1,10.0,0,0,3,147
148,50,25600,0,10000.0,1,10.0,0,0,4,148
149,0,-1,0,10000.0,1,10.0,0,0,5,149
